method,variant,feeder,scenario_id,branch_count,drop_rmse,drop_mae,drop_max_abs,scenario_violation_any,realized_severity
AC power-flow label,reference,33,3,32,0.000436167109802166,0.00021805337530752053,0.001480812329583487,True,0.5060232615749586
AC power-flow label,reference,33,11,32,9.429850690019646e-05,4.942084117068238e-05,0.0003115884877640321,False,0.0
AC power-flow label,reference,33,13,32,0.0002311733442707954,0.0001223131517914116,0.0008173956820835687,True,0.10879088623633515
AC power-flow label,reference,33,17,32,9.190970735957253e-05,4.566544811136434e-05,0.0003053466618003365,False,0.0
AC power-flow label,reference,33,18,32,0.00015469446695613823,8.031651185398987e-05,0.0005236870368146851,False,0.0
AC power-flow label,reference,33,22,32,0.00019343517808587444,9.710009446619538e-05,0.000674110964214901,True,0.0552917081226183
AC power-flow label,reference,33,27,32,0.00023984653215190248,0.00011808451321252877,0.0008563613200863393,True,0.1551224583310702
AC power-flow label,reference,33,31,32,0.00011330379169593251,5.839693681979348e-05,0.00037966638635912944,False,0.0
AC power-flow label,reference,33,38,32,0.000132952711748652,7.323548788668301e-05,0.0004372636064012645,False,0.0
AC power-flow label,reference,33,47,32,0.00023127985087893717,0.00011103540219829406,0.0008311120494526453,True,0.08415635702774504
AC power-flow label,reference,33,52,32,0.00020208255979755645,9.68424376670988e-05,0.000703459361796336,True,0.04696192729654436
AC power-flow label,reference,33,59,32,0.0003662414535353021,0.0001812535254170273,0.0012780004411135568,True,0.3835340158960511
AC power-flow label,reference,33,72,32,0.00023807852398251227,0.00012092915338510134,0.0008370945380289166,True,0.033252052712791524
AC power-flow label,reference,33,84,32,0.00021768697877368523,0.00011722053353980884,0.0007271550791707881,True,0.06989930261102983
AC power-flow label,reference,33,86,32,9.121868790051142e-05,4.604067050341619e-05,0.0003016926156700836,False,0.0
AC power-flow label,reference,33,94,32,0.00028996835881634365,0.00014603049429239896,0.0010405662593120646,True,0.2604549408835587
AC power-flow label,reference,33,95,32,0.00043426239966121605,0.00021767822426363757,0.0014923994649156946,True,0.48322990210574157
AC power-flow label,reference,33,104,32,0.000129736733929369,6.46220626678119e-05,0.00046935712962079684,False,0.0
AC power-flow label,reference,33,105,32,0.00034445956415546565,0.0001954912030377116,0.0011418191655040225,False,0.0
AC power-flow label,reference,33,112,32,0.0002513664307237769,0.00013415574126725803,0.0008307851367517216,True,0.14445998461291076
AC power-flow label,reference,33,116,32,0.00024220628680630217,0.00011655357296378667,0.0008091519973044761,True,0.11164549971583693
AC power-flow label,reference,33,122,32,0.00047931379073715813,0.00024789739024054877,0.0016781314064643407,True,0.6000522461669653
AC power-flow label,reference,33,124,32,0.00042435343920643737,0.0002118960794821089,0.0014470513401595164,True,0.3513432212144152
AC power-flow label,reference,33,128,32,0.00013296841153505134,6.518441250671846e-05,0.0004719961108806889,False,0.0
AC power-flow label,reference,33,131,32,0.0001715435780121426,8.628189459343645e-05,0.0006068484999135794,True,0.03767402030753553
AC power-flow label,reference,33,133,32,0.000530613457185571,0.0002689982681490213,0.001869416959295725,True,0.6911090303790584
AC power-flow label,reference,33,134,32,0.0001923211916333477,9.322318955091483e-05,0.0006886305382604527,True,0.0637471952736508
AC power-flow label,reference,33,135,32,0.00020123374857754423,9.934232084980466e-05,0.0007118551585517732,True,0.09807450431444531
AC power-flow label,reference,33,136,32,0.00034620842933403895,0.00017043965083071236,0.001216717046955064,True,0.3389819545179208
AC power-flow label,reference,33,137,32,0.00026530011023044315,0.00013745185980297979,0.0009136954347911605,True,0.042344970367476975
AC power-flow label,reference,33,139,32,0.0001415080061316769,7.974213058566577e-05,0.00046879492864494374,True,0.00037938127207870487
AC power-flow label,reference,33,141,32,0.00015912201319302551,8.254049054468731e-05,0.0005198501173016429,True,0.008966849030157431
AC power-flow label,reference,33,143,32,0.00040888986824995057,0.0002016210321249349,0.001411440080473704,True,0.29823051427938285
AC power-flow label,reference,33,149,32,0.0001738395855249581,8.652844005895577e-05,0.0005739835530288347,True,0.020592570257536136
AC power-flow label,reference,33,153,32,0.0003900555560296337,0.00020984812746399216,0.001289780583791665,True,0.33890299260384715
AC power-flow label,reference,33,159,32,0.00024796089171301845,0.0001263986172691855,0.0008223231639289084,True,0.0395997909414626
AC power-flow label,reference,33,161,32,0.0004229576450258762,0.00020552837282745127,0.0014971616724938144,True,0.43630071226698386
AC power-flow label,reference,33,162,32,0.00024106956358217158,0.0001268206230324197,0.0007969652009451617,True,0.016115566658850278
AC power-flow label,reference,33,170,32,0.0005038316784623112,0.00026028948880799053,0.0017084051316583575,True,0.6077469434902997
AC power-flow label,reference,33,178,32,0.00011317310018204175,5.847272188289957e-05,0.0003681898148482146,False,0.0
AC power-flow label,reference,33,180,32,0.00015543451289102178,8.205656149844026e-05,0.0005196815726517621,True,0.013742531231571431
AC power-flow label,reference,33,199,32,0.00029955699221291104,0.0001529519906179895,0.0009899236312537717,True,0.15362603940721098
AC power-flow label,reference,33,200,32,0.0005499601595894456,0.0002759232998950464,0.0019369634727604904,True,0.7298739149217645
AC power-flow label,reference,33,201,32,0.00010593600694539947,5.625717999625579e-05,0.0003662318491034055,False,0.0
AC power-flow label,reference,33,206,32,0.000269878331985647,0.00013216937217664393,0.0009435876868041718,True,0.1955177373435918
AC power-flow label,reference,33,213,32,8.15017028540465e-05,4.239676350098387e-05,0.00027188593315844584,False,0.0
AC power-flow label,reference,33,215,32,0.00016878355253220368,8.27784383892647e-05,0.0005459519149504013,True,0.018360807520329647
AC power-flow label,reference,33,221,32,0.0001560709084420739,8.48209825612614e-05,0.0005249902630606249,False,0.0
AC power-flow label,reference,33,233,32,0.00014278738384292754,7.381733665913333e-05,0.0004890433911649665,True,0.0034177914103068474
AC power-flow label,reference,33,235,32,0.00015713158297564727,8.284998378480998e-05,0.0005306934531792359,False,0.0
AC power-flow label,reference,33,236,32,0.0002881454633857439,0.00014067162668251652,0.0010065240913276902,True,0.12158032691799847
AC power-flow label,reference,33,238,32,0.00011989767166001939,5.978810045975222e-05,0.0004108272742913699,False,0.0
AC power-flow label,reference,33,240,32,0.000212653562698789,0.00010642927818983614,0.0007581621416028889,True,0.10154004665838001
AC power-flow label,reference,33,243,32,0.00029470128121016965,0.00014696791368229586,0.0010163767388460844,True,0.2510339348117949
AC power-flow label,reference,33,244,32,0.00033035566291248066,0.00016366842868416662,0.0011723506016904743,True,0.3214545361243055
AC power-flow label,reference,33,260,32,0.00012143483929784847,6.470102646777342e-05,0.0004037058170270249,False,0.0
AC power-flow label,reference,33,264,32,0.0001648433806328561,8.465313560098348e-05,0.0005373579097481783,True,0.005113949509944482
AC power-flow label,reference,33,285,32,0.0003424665114118703,0.00017318830270365355,0.0011376324871434779,True,0.16453499471995825
AC power-flow label,reference,33,289,32,0.00012502199653540832,6.289383080606207e-05,0.0004456786696440257,False,0.0
AC power-flow label,reference,33,292,32,0.00010441700931372847,5.625750824335555e-05,0.0003414339056247908,False,0.0
AC power-flow label,reference,69,4,68,0.00012022252779110124,3.995154762521151e-05,0.0007438984537347891,False,0.0
AC power-flow label,reference,69,5,68,0.00026049291132123356,8.597299272840147e-05,0.0015896348648416422,True,0.16517353471993257
AC power-flow label,reference,69,16,68,9.430299823015603e-05,3.2280075767440135e-05,0.0005638867242992104,False,0.0
AC power-flow label,reference,69,17,68,0.000137395043657207,4.546374694881669e-05,0.0008224027007420753,True,0.03817669116193312
AC power-flow label,reference,69,20,68,0.00033037745793788073,0.00011015014895493674,0.0020050880576710575,True,0.24598212452850132
AC power-flow label,reference,69,22,68,0.00017762540066923316,5.952950051667166e-05,0.001056996364655817,True,0.08964216081351506
AC power-flow label,reference,69,27,68,0.00018195190073328849,6.060715698509789e-05,0.00109481436886609,True,0.08878314838979118
AC power-flow label,reference,69,28,68,0.0003052769620603227,0.00010397396465707682,0.0018549448327435242,True,0.18265914590317733
AC power-flow label,reference,69,34,68,0.00010546033280160075,3.6916213258266e-05,0.0006315782369624365,False,0.0
AC power-flow label,reference,69,38,68,0.00014356979069959924,4.7856088463192654e-05,0.0008689270210905375,True,0.03135561239619822
AC power-flow label,reference,69,40,68,0.00015928417777391268,5.324979055828196e-05,0.0009768750795792654,True,0.03439220500946283
AC power-flow label,reference,69,42,68,0.00020163036139165085,6.770098564825761e-05,0.0012064043364113167,True,0.11874653214483843
AC power-flow label,reference,69,50,68,0.00014115452532371606,4.679187276686761e-05,0.0008674846494062145,True,0.003818159569864088
AC power-flow label,reference,69,73,68,0.00022385566230985815,7.417295265807589e-05,0.0013706735840461615,True,0.11996995036435765
AC power-flow label,reference,69,84,68,0.00022087472165237577,7.425904770790116e-05,0.0013194053326617203,True,0.1413087571672499
AC power-flow label,reference,69,88,68,0.0001275059506443957,4.226649979984014e-05,0.0007625828527780196,True,0.026539023910398418
AC power-flow label,reference,69,99,68,0.00010131715545323739,3.419821060909171e-05,0.0006264389790628759,False,0.0
AC power-flow label,reference,69,101,68,0.0001744392127317677,6.44867842870036e-05,0.0010412280055902418,True,0.0068982969572077835
AC power-flow label,reference,69,102,68,0.00038001755867864606,0.00012552728654976374,0.0022937763781942927,True,0.3242800071876122
AC power-flow label,reference,69,108,68,0.0002247442804759967,7.473759893126001e-05,0.0013358834103519776,True,0.15103793248057507
AC power-flow label,reference,69,116,68,0.0005269381652817916,0.00017501613517571904,0.0031420810560198326,True,0.4652834274306893
AC power-flow label,reference,69,118,68,0.00020978782564392784,7.009854568810223e-05,0.0012636223553667836,True,0.106198532215391
AC power-flow label,reference,69,120,68,0.00010084547721648798,3.5308772140447895e-05,0.0006033388426837615,False,0.0
AC power-flow label,reference,69,122,68,9.080336871106422e-05,3.041927938521443e-05,0.0005438085001450259,False,0.0
AC power-flow label,reference,69,126,68,0.0002375640049740169,8.051432517724969e-05,0.0014014668313122036,True,0.1636637428515474
AC power-flow label,reference,69,127,68,0.0003428840915972856,0.00011454322346031897,0.0020387933599423647,True,0.29078567823763257
AC power-flow label,reference,69,133,68,0.00016647489936344305,5.957255012749746e-05,0.0010026644431255505,True,0.04090512179969996
AC power-flow label,reference,69,136,68,0.0004192748649925297,0.00013882709847232914,0.002512525773736188,True,0.36592531019642094
AC power-flow label,reference,69,144,68,0.0004279808042988555,0.00014178652430183413,0.002588170259939883,True,0.35760564040672227
AC power-flow label,reference,69,147,68,0.0002445833008248376,8.178999440379069e-05,0.001475288405413,True,0.1579988535799246
AC power-flow label,reference,69,156,68,0.0001324937754074708,4.469464448591626e-05,0.0008125925015696964,True,0.013965017705318217
AC power-flow label,reference,69,158,68,0.00023989178152317178,7.903417978416988e-05,0.0014765545519101753,True,0.12002150866071404
AC power-flow label,reference,69,164,68,0.0002686181356906546,8.988288371207752e-05,0.001637898970899096,True,0.1689511675724642
AC power-flow label,reference,69,168,68,0.0004915272344501053,0.0001632938981069984,0.002940559756770676,True,0.42852341633407565
AC power-flow label,reference,69,194,68,0.00015629327496232749,5.35638007504692e-05,0.0009481297029231006,True,0.02661956911022323
AC power-flow label,reference,69,197,68,0.00017205033639484114,5.787812561937258e-05,0.0010270882850138517,True,0.0692386456261026
AC power-flow label,reference,69,200,68,0.00012503360556703042,4.165788726364495e-05,0.0007472549409964849,True,0.022129077719464152
AC power-flow label,reference,69,201,68,0.00014844942477812274,5.4289000148959405e-05,0.0008723175536100893,True,0.00578595012346661
AC power-flow label,reference,69,205,68,0.00039288532024977905,0.00012992301097655462,0.002368739742578098,True,0.33173031461161795
AC power-flow label,reference,69,206,68,0.0001312072715562927,4.386340763627541e-05,0.0007833281445475196,True,0.02942141945579002
AC power-flow label,reference,69,209,68,0.0003114967603228705,0.00010423832157311072,0.0018594117355883732,True,0.2558976219068452
AC power-flow label,reference,69,210,68,0.00030280077403819957,0.00010167338942760318,0.001857020779592572,True,0.20959447216329663
AC power-flow label,reference,69,214,68,5.705876592801825e-05,1.999011275905554e-05,0.00033850780954076606,False,0.0
AC power-flow label,reference,69,218,68,0.00014484059480688517,4.899496192486282e-05,0.0008484786770414088,True,0.03032056242407355
AC power-flow label,reference,69,230,68,9.531119806077916e-05,3.3479065589324745e-05,0.000571055696630119,False,0.0
AC power-flow label,reference,69,235,68,0.0001593670240109639,5.300840805608729e-05,0.0009648652564706109,True,0.051344553126756676
AC power-flow label,reference,69,244,68,0.0002418814052731283,8.023337537424314e-05,0.0014810835796501137,True,0.13020537158667067
AC power-flow label,reference,69,251,68,0.0004321811766304998,0.0001436255497699017,0.002672538812984425,True,0.2500513958855004
AC power-flow label,reference,69,254,68,0.0005361507777575157,0.00017789958138965454,0.003226673321397658,True,0.46475835982333846
AC power-flow label,reference,69,257,68,0.00013549778257762737,4.732843023108986e-05,0.0008228635808090884,True,0.013056100181927377
AC power-flow label,reference,69,268,68,0.0003840853728016359,0.00012824060048005154,0.0022822914648464865,True,0.33471763699583457
AC power-flow label,reference,69,269,68,0.00037979288409837947,0.00012771397705303077,0.002257560906758077,True,0.3246257772611043
AC power-flow label,reference,69,272,68,0.0004049761887095784,0.00013486539247162973,0.0024256478476097354,True,0.3464515547046978
AC power-flow label,reference,69,275,68,0.0001233160356349886,4.1801028296303494e-05,0.0007561968055432577,True,0.0047088026040568165
AC power-flow label,reference,69,281,68,0.0003784757744814169,0.00013339202064898401,0.0022495681243256058,True,0.2610421393016801
AC power-flow label,reference,69,286,68,0.00013102663259780537,4.464290150401829e-05,0.0007867247122501503,True,0.00837630297231684
AC power-flow label,reference,69,291,68,0.0001072958845738569,3.591482297326695e-05,0.0006532223246049768,False,0.0
AC power-flow label,reference,69,294,68,0.0003060408729904251,0.00010261269003415254,0.0018812252845420638,True,0.19576536719915527
AC power-flow label,reference,69,297,68,0.0001233907625058045,4.07306003236781e-05,0.0007485712230074805,True,0.015704048991353692
AC power-flow label,reference,69,299,68,0.00045304724782848873,0.00015125225060171225,0.002755344469735785,True,0.3693853630443613
Boosting point + global conformal,global,33,3,32,0.0011561173500728831,0.0008534480151236713,0.003019203572905851,True,0.5060232615749586
Boosting point + global conformal,global,33,11,32,0.0003661524828223941,0.0002973733678536378,0.0007725364116802592,False,0.0
Boosting point + global conformal,global,33,13,32,0.000582542205881961,0.00044542098513018335,0.001650062989492363,True,0.10879088623633515
Boosting point + global conformal,global,33,17,32,0.00030002652211224916,0.00021922835670608922,0.0007884422778193546,False,0.0
Boosting point + global conformal,global,33,18,32,0.00030083497461206286,0.0002331484421230233,0.0007569743781395688,False,0.0
Boosting point + global conformal,global,33,22,32,0.0005568536507914183,0.0005105477678753451,0.0010008607673505602,True,0.0552917081226183
Boosting point + global conformal,global,33,27,32,0.0009243499228388936,0.0007264254368244411,0.002201371730970788,True,0.1551224583310702
Boosting point + global conformal,global,33,31,32,0.0003322945068958043,0.000279129781194244,0.0008119674368117641,False,0.0
Boosting point + global conformal,global,33,38,32,0.00044873776471156636,0.00037579974608790447,0.0011974795772476065,False,0.0
Boosting point + global conformal,global,33,47,32,0.0006485067375006452,0.0005495987489857251,0.0012146036929061004,True,0.08415635702774504
Boosting point + global conformal,global,33,52,32,0.000504016883473119,0.0004199348972921173,0.0010354648789051716,True,0.04696192729654436
Boosting point + global conformal,global,33,59,32,0.0009092994265558065,0.0007384847086888817,0.0017908217955359823,True,0.3835340158960511
Boosting point + global conformal,global,33,72,32,0.0004385125213346766,0.00034136435653663196,0.001185211069654607,True,0.033252052712791524
Boosting point + global conformal,global,33,84,32,0.0006689803870814918,0.0005099623150330182,0.0016462714451877072,True,0.06989930261102983
Boosting point + global conformal,global,33,86,32,0.0002675972423449809,0.00022687041822477285,0.0006034629268802001,False,0.0
Boosting point + global conformal,global,33,94,32,0.000800068132021084,0.0006465912479296833,0.0018964818654475185,True,0.2604549408835587
Boosting point + global conformal,global,33,95,32,0.0010403518098626638,0.0007942478252274908,0.00282698676714009,True,0.48322990210574157
Boosting point + global conformal,global,33,104,32,0.00045091072318205065,0.0003470021685351444,0.0011015812808781336,False,0.0
Boosting point + global conformal,global,33,105,32,0.0007980405721300597,0.0006066178683080886,0.0021263909668935,False,0.0
Boosting point + global conformal,global,33,112,32,0.0006511493028107822,0.00047792892341673486,0.0016515854398801886,True,0.14445998461291076
Boosting point + global conformal,global,33,116,32,0.0005780185625295476,0.0004745720286549976,0.001274803530347467,True,0.11164549971583693
Boosting point + global conformal,global,33,122,32,0.0011012133355095006,0.0008424271492501619,0.002882937682959147,True,0.6000522461669653
Boosting point + global conformal,global,33,124,32,0.0010996597441969048,0.0007781483936585825,0.003245344938273916,True,0.3513432212144152
Boosting point + global conformal,global,33,128,32,0.0005592735175226955,0.00042464325858343504,0.001347912826632337,False,0.0
Boosting point + global conformal,global,33,131,32,0.0006148378458924646,0.0004894037875261408,0.0015210876004005628,True,0.03767402030753553
Boosting point + global conformal,global,33,133,32,0.0013745796832919694,0.0009423394242725788,0.003912453410831794,True,0.6911090303790584
Boosting point + global conformal,global,33,134,32,0.0005773937855645675,0.0004054134794930322,0.001968934099462801,True,0.0637471952736508
Boosting point + global conformal,global,33,135,32,0.0005210691501206126,0.000415281901280878,0.0014101248073259375,True,0.09807450431444531
Boosting point + global conformal,global,33,136,32,0.0006895382933649093,0.000578087745879435,0.0014415320584044583,True,0.3389819545179208
Boosting point + global conformal,global,33,137,32,0.0003870349672264892,0.0003039379202078798,0.0010172142024954742,True,0.042344970367476975
Boosting point + global conformal,global,33,139,32,0.0003212873675739856,0.0002589362909441126,0.0007879582885892706,True,0.00037938127207870487
Boosting point + global conformal,global,33,141,32,0.000559527963239055,0.0004562868346662731,0.001428419325339002,True,0.008966849030157431
Boosting point + global conformal,global,33,143,32,0.0009004270154693609,0.0006699146371615008,0.0024594466750968366,True,0.29823051427938285
Boosting point + global conformal,global,33,149,32,0.0005544844048448681,0.0004388505822561627,0.0014171513204616001,True,0.020592570257536136
Boosting point + global conformal,global,33,153,32,0.0008499722617669109,0.0005953946666605824,0.0021514476713207246,True,0.33890299260384715
Boosting point + global conformal,global,33,159,32,0.000691066705182683,0.0005390815471481072,0.0016421897543015262,True,0.0395997909414626
Boosting point + global conformal,global,33,161,32,0.0008290364015452303,0.0006821585768535044,0.0015733290352818261,True,0.43630071226698386
Boosting point + global conformal,global,33,162,32,0.0006077373297204574,0.00042469772857714824,0.001559136201996084,True,0.016115566658850278
Boosting point + global conformal,global,33,170,32,0.001261770875223225,0.0008712247686530893,0.004154632805585734,True,0.6077469434902997
Boosting point + global conformal,global,33,178,32,0.0003775069861291794,0.0002837035435494068,0.0011036494896748336,False,0.0
Boosting point + global conformal,global,33,180,32,0.0005922354117563209,0.00047912334839487217,0.0013485707825815632,True,0.013742531231571431
Boosting point + global conformal,global,33,199,32,0.0005817559892627572,0.00045669588685666874,0.001864342729323691,True,0.15362603940721098
Boosting point + global conformal,global,33,200,32,0.0026795923806331207,0.001524091636019853,0.012078585389782445,True,0.7298739149217645
Boosting point + global conformal,global,33,201,32,0.0004676737636368833,0.0003792028020836616,0.0009080035275318652,False,0.0
Boosting point + global conformal,global,33,206,32,0.0005804753309226029,0.0004919870127751073,0.0012531217447691722,True,0.1955177373435918
Boosting point + global conformal,global,33,213,32,0.0003069269697051181,0.00024353291593201141,0.0005903610002107975,False,0.0
Boosting point + global conformal,global,33,215,32,0.00040581806871200273,0.0002976136015838219,0.0012016212198895076,True,0.018360807520329647
Boosting point + global conformal,global,33,221,32,0.0004022011575659466,0.0003418063965591742,0.0008428227642788642,False,0.0
Boosting point + global conformal,global,33,233,32,0.00048043366402074464,0.000355302853868946,0.0014108193571159711,True,0.0034177914103068474
Boosting point + global conformal,global,33,235,32,0.00040639020550374804,0.0003072257214626194,0.0011845432055256357,False,0.0
Boosting point + global conformal,global,33,236,32,0.0005257243324316228,0.0004320137911902584,0.0012389972105688683,True,0.12158032691799847
Boosting point + global conformal,global,33,238,32,0.0004382262758782222,0.00034443134809463544,0.0010926132049115713,False,0.0
Boosting point + global conformal,global,33,240,32,0.0006810185982899053,0.000499086462503537,0.0016271539098644192,True,0.10154004665838001
Boosting point + global conformal,global,33,243,32,0.0007081265960654777,0.0005827442964126114,0.002057729024350464,True,0.2510339348117949
Boosting point + global conformal,global,33,244,32,0.0009428343206537155,0.0007237906267548171,0.00229853217062894,True,0.3214545361243055
