method,variant,alpha,nominal_coverage,test_scenarios,risky_scenarios,screened_safe_scenarios,screened_safe_ratio,ac_optimization_calls_avoided,flagged_for_ac_optimization,risky_scenario_recall,post_screening_violation_miss_rate,missed_risky_scenarios,bus_violation_recall,bus_false_alarm_rate,missed_bus_violations,mean_interval_width,available_pv_mw,accepted_pv_proxy_mw,curtailed_pv_proxy_mw,relieved_load_proxy_mw,proxy_action_cost_mw,split_name,seed
Boosting point + global conformal,global,0.1,0.9,120,93,26,0.21666666666666667,26,94,1.0,0.0,0,0.996742671009772,0.002500480861704174,3,0.0010963713147436201,191.23095295448223,191.23095295448223,0.0,35.64160569822138,35.64160569822138,random_interpolation,7
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,120,93,27,0.225,27,93,1.0,0.0,0,0.998914223669924,0.0005770340450086555,1,0.00045817743515701284,191.23095295448223,191.23095295448223,0.0,35.33449156348388,35.33449156348388,random_interpolation,7
Boosting point + global conformal,global,0.1,0.9,120,101,17,0.14166666666666666,17,103,1.0,0.0,0,0.9978991596638656,0.003869969040247678,2,0.0010972853025266135,238.91598355171416,238.91598355171416,0.0,41.87255745149765,41.87255745149765,synthetic_time_block,7
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,120,101,17,0.14166666666666666,17,103,1.0,0.0,0,0.9989495798319328,0.0025154798761609907,1,0.0005477197654340178,238.91598355171416,238.91598355171416,0.0,41.87255745149765,41.87255745149765,synthetic_time_block,7
Boosting point + global conformal,global,0.1,0.9,132,75,57,0.4318181818181818,57,75,1.0,0.0,0,0.9961315280464217,0.0018870891649630445,2,0.0012585304296160215,405.8250824885048,405.8250824885048,0.0,31.38572755379886,31.38572755379886,pv_penetration_shift,7
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,132,75,57,0.4318181818181818,57,75,1.0,0.0,0,0.9980657640232108,0.0015725743041358703,1,0.0008073615770040806,405.8250824885048,405.8250824885048,0.0,31.38572755379886,31.38572755379886,pv_penetration_shift,7
Boosting point + global conformal,global,0.1,0.9,180,163,17,0.09444444444444444,17,163,1.0,0.0,0,1.0,0.001792435920415845,0,0.0028602742671657547,329.68037281917304,329.68037281917304,0.0,62.967347988671236,62.967347988671236,topology_heldout_33_to_69,7
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,180,163,17,0.09444444444444444,17,163,1.0,0.0,0,1.0,0.0004481089801039613,0,0.0019759725951134987,329.68037281917304,329.68037281917304,0.0,62.967347988671236,62.967347988671236,topology_heldout_33_to_69,7
Boosting point + global conformal,global,0.1,0.9,120,91,29,0.24166666666666667,29,91,1.0,0.0,0,0.9988584474885844,0.0011441647597254005,1,0.0013510157269576112,236.47093655355442,236.47093655355442,0.0,36.56797097001855,36.56797097001855,random_interpolation,17
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,120,91,29,0.24166666666666667,29,91,1.0,0.0,0,1.0,0.002479023646071701,0,0.000522051744970855,236.47093655355442,236.47093655355442,0.0,36.56797097001855,36.56797097001855,random_interpolation,17
Boosting point + global conformal,global,0.1,0.9,120,101,17,0.14166666666666666,17,103,1.0,0.0,0,0.9978991596638656,0.003676470588235294,2,0.0010709494115714823,238.91598355171416,238.91598355171416,0.0,41.87255745149765,41.87255745149765,synthetic_time_block,17
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,120,101,17,0.14166666666666666,17,103,1.0,0.0,0,0.9989495798319328,0.0027089783281733747,1,0.0005480235932939733,238.91598355171416,238.91598355171416,0.0,41.87255745149765,41.87255745149765,synthetic_time_block,17
Boosting point + global conformal,global,0.1,0.9,132,75,57,0.4318181818181818,57,75,1.0,0.0,0,0.9980657640232108,0.0015725743041358703,1,0.0012399441036894303,405.8250824885048,405.8250824885048,0.0,31.38572755379886,31.38572755379886,pv_penetration_shift,17
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,132,75,57,0.4318181818181818,57,75,1.0,0.0,0,0.9980657640232108,0.0014153168737222833,1,0.0008079630364550327,405.8250824885048,405.8250824885048,0.0,31.38572755379886,31.38572755379886,pv_penetration_shift,17
Boosting point + global conformal,global,0.1,0.9,180,166,14,0.07777777777777778,14,166,1.0,0.0,0,1.0,0.001974156496769562,0,0.0027989603383104977,334.89761274142074,334.89761274142074,0.0,64.82021724718244,64.82021724718244,topology_heldout_33_to_69,17
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,180,166,14,0.07777777777777778,14,166,1.0,0.0,0,1.0,0.000628140703517588,0,0.0020456065781950263,334.89761274142074,334.89761274142074,0.0,64.82021724718244,64.82021724718244,topology_heldout_33_to_69,17
Boosting point + global conformal,global,0.1,0.9,120,93,26,0.21666666666666667,26,94,1.0,0.0,0,0.9987405541561712,0.0035674051821254224,1,0.0013747363161271888,239.84934000057135,239.84934000057135,0.0,36.876146616641336,36.876146616641336,random_interpolation,42
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,120,93,26,0.21666666666666667,26,94,1.0,0.0,0,1.0,0.0020653398422831393,0,0.0005551637895070262,239.84934000057135,239.84934000057135,0.0,36.876146616641336,36.876146616641336,random_interpolation,42
Boosting point + global conformal,global,0.1,0.9,120,101,17,0.14166666666666666,17,103,1.0,0.0,0,0.9968487394957983,0.00348297213622291,3,0.0010976214187559264,238.91598355171416,238.91598355171416,0.0,41.87255745149765,41.87255745149765,synthetic_time_block,42
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,120,101,17,0.14166666666666666,17,103,1.0,0.0,0,0.9989495798319328,0.0025154798761609907,1,0.0005410881690943002,238.91598355171416,238.91598355171416,0.0,41.87255745149765,41.87255745149765,synthetic_time_block,42
Boosting point + global conformal,global,0.1,0.9,132,75,57,0.4318181818181818,57,75,1.0,0.0,0,0.9980657640232108,0.0014153168737222833,1,0.0012628938958916312,405.8250824885048,405.8250824885048,0.0,31.38572755379886,31.38572755379886,pv_penetration_shift,42
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,132,75,57,0.4318181818181818,57,75,1.0,0.0,0,0.9980657640232108,0.0014153168737222833,1,0.0008172249451654884,405.8250824885048,405.8250824885048,0.0,31.38572755379886,31.38572755379886,pv_penetration_shift,42
Boosting point + global conformal,global,0.1,0.9,180,164,16,0.08888888888888889,16,164,1.0,0.0,0,1.0,0.002244165170556553,0,0.0027518010539797884,350.19521361313764,350.19521361313764,0.0,64.28143627578164,64.28143627578164,topology_heldout_33_to_69,42
VoltGuard topology-aware residual,topology_pv_loading_conditioned,0.1,0.9,180,164,16,0.08888888888888889,16,164,1.0,0.0,0,1.0,0.0010771992818671453,0,0.0020616853996031225,350.19521361313764,350.19521361313764,0.0,64.28143627578164,64.28143627578164,topology_heldout_33_to_69,42
